opportunity_count,unsafe_count,safe_count,uar_count,uar,uar_one_sided_upper,frr_count,frr,frr_one_sided_upper,closure_uar,closure_frr,unsafe_exposure_count,safe_exposure_count,initial_unresolved_rate,automated_query_rate,probe_rate,diagnostic_round_rate,local_resolution_rate,residual_escalation_rate,residual_escalation_count,irreducible_ambiguity_rate,stable_evidence_residual_rate,irreducible_recall,conditional_cmpg,conditional_pe,ambiguity_contraction_per_round,separating_action_accuracy,perception_witness_count,query_yield,scope_leakage,anti_scope_violations,unintended_decision_influence,active_basis_max,active_eligibility_max,interaction_violations,typed_channel_violations,query_cost,probe_cost,closure_rounds,mean_rounds,latency_ms,compute_units,model_tool_calls,token_count,memory_bytes,program_complexity,human_escalations,domain_escalations,complete_replay_rate,hidden_field_contamination_count,future_read_count,worst_world_uar,worst_world_frr,canonical_ast_count,template_count,semantic_hash_count,behavioral_equivalence_classes,constant_count,noop_count,name_only_count,parent_identical_count,operation_noncompliance_count,search_provenance_incomplete_count,independent_gate_failure_count,certifier_blindness_failure_count,permutation_failure_count,witness_reproduction_failure_count,firewall_attack_detected_count,track_id,method,condition_id,point_id,generation,feedback_aware_time_to_detection,time_to_local_closure,time_to_persistent_certification,recurrence_resolution_rate,library_size,eligibility_size,negative_knowledge_reuse,retention,forgetting,negative_transfer,consolidation_cost,consolidation_gain,generation_residual_slope,generation_scope_slope,lexicographic_key
15000,6269,8731,0,0.0,0.00047775029678875924,0,0.0,0.0003430555941830171,0.0,0.0,6269,8731,0.9534666666666667,0.9534666666666667,0.11206666666666666,0.9534666666666667,0.7368,0.21666666666666667,3250,0.21666666666666667,0.0,1.0,0.7727590546776675,0.7727590546776675,0.38637952733883374,0.7727590546776675,15000,0.7727590546776675,0,0,0,2,2,0,0,14302.0,1681.0,28604.0,1.9069333333333334,1423080.0,59587.0,15983,0,4096,8.0,3250,3250,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,0,0,0,0,0,paired_original_bank,perception_closure_v04,v04_cumulative,p00,1,2.0,2.0,1.0,0.7190909090909091,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.029299999999999993,0.0,"[0.0, 0.0, 0.21666666666666667, 14302.0, 1423080.0, 8.0]"
15000,6269,8731,0,0.0,0.00047775029678875924,0,0.0,0.0003430555941830171,0.0,0.0,6269,8731,0.9534666666666667,0.9534666666666667,0.11206666666666666,0.9534666666666667,0.7368,0.21666666666666667,3250,0.21666666666666667,0.0,1.0,0.7727590546776675,0.7727590546776675,0.38637952733883374,0.7727590546776675,15000,0.7727590546776675,0,0,0,2,2,0,0,14302.0,1681.0,28604.0,1.9069333333333334,1423080.0,59587.0,15983,0,4096,8.0,3250,3250,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,0,0,0,0,0,paired_original_bank,perception_closure_v04,v04_fresh,p00,1,2.0,2.0,0.0,0.7190909090909091,20,2,163,0.0,0.0,0.0,21680.0,0.0,0.029299999999999993,0.0,"[0.0, 0.0, 0.21666666666666667, 14302.0, 1423080.0, 8.0]"
15000,6269,8731,0,0.0,0.00047775029678875924,0,0.0,0.0003430555941830171,0.0,0.0,6269,8731,0.9534666666666667,0.9534666666666667,0.11206666666666666,0.9534666666666667,0.7368,0.21666666666666667,3250,0.21666666666666667,0.0,1.0,0.7727590546776675,0.7727590546776675,0.38637952733883374,0.7727590546776675,15000,0.7727590546776675,0,0,0,2,2,0,0,14302.0,1681.0,28604.0,1.9069333333333334,1423080.0,59587.0,15983,0,4096,8.0,3250,3250,1.0,0,0,0.0,0.0,20,12,20,20,0,0,0,0,0,0,0,0,0,0,0,paired_original_bank,perception_closure_v04,v04_frozen_after_g1,p00,1,2.0,2.0,0.0,0.7190909090909091,20,2,163,1.0,0.0,0.0,21680.0,0.0,0.029299999999999993,0.0,"[0.0, 0.0, 0.21666666666666667, 14302.0, 1423080.0, 8.0]"
15000,6269,8731,40,0.006380602966980379,,118,0.013515061275913412,,0.006380602966980379,0.013515061275913412,6269,8731,0.9534666666666667,0.0,0.0,0.0,0.8005333333333333,0.15293333333333334,2294,0.21666666666666667,0.14976760199690137,0.17046153846153847,0.8396028527478674,0.8396028527478674,12008.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,2294,2294,1.0,0,0,0.125,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paired_original_bank,legacy_mavs_sl,legacy_A0,p00,1,0.0,0.0,1.0,0.8081818181818182,0,2,163,1.0,0.0,0.0,20341.0,0.0,0.029299999999999993,0.0,"[0.006380602966980379, 0.013515061275913412, 0.15293333333333334, 0.0, 300000.0, 4.0]"
15000,6269,8731,13,0.0020736959642686232,,40,0.004581376703699461,,0.0020736959642686232,0.004581376703699461,6269,8731,0.9534666666666667,0.0,0.0,0.0,0.6646,0.28886666666666666,4333,0.21666666666666667,0.2845584437941126,0.316,0.6970353796671794,0.6970353796671794,9969.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4333,4333,1.0,0,0,0.1111111111111111,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paired_original_bank,legacy_mavs_sl,A1_frozen,p00,1,0.0,0.0,0.0,0.6663636363636364,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.029299999999999993,0.0,"[0.0020736959642686232, 0.004581376703699461, 0.28886666666666666, 0.0, 300000.0, 4.0]"
15000,6269,8731,13,0.0020736959642686232,,40,0.004581376703699461,,0.0020736959642686232,0.004581376703699461,6269,8731,0.9534666666666667,0.0,0.0,0.0,0.6646,0.28886666666666666,4333,0.21666666666666667,0.2845584437941126,0.316,0.6970353796671794,0.6970353796671794,9969.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4333,4333,1.0,0,0,0.1111111111111111,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paired_original_bank,legacy_mavs_sl,A2_threshold_only,p00,1,0.0,0.0,0.0,0.6663636363636364,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.029299999999999993,0.0,"[0.0020736959642686232, 0.004581376703699461, 0.28886666666666666, 0.0, 300000.0, 4.0]"
15000,6269,8731,40,0.006380602966980379,,118,0.013515061275913412,,0.006380602966980379,0.013515061275913412,6269,8731,0.9534666666666667,0.0,0.0,0.0,0.8005333333333333,0.15293333333333334,2294,0.21666666666666667,0.14976760199690137,0.17046153846153847,0.8396028527478674,0.8396028527478674,12008.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,2294,2294,1.0,0,0,0.125,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paired_original_bank,legacy_mavs_sl,A3_selector_only,p00,1,0.0,0.0,0.0,0.8081818181818182,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.029299999999999993,0.0,"[0.006380602966980379, 0.013515061275913412, 0.15293333333333334, 0.0, 300000.0, 4.0]"
15000,6269,8731,13,0.0020736959642686232,,40,0.004581376703699461,,0.0020736959642686232,0.004581376703699461,6269,8731,0.9534666666666667,0.0,0.0,0.0,0.6646,0.28886666666666666,4333,0.21666666666666667,0.2845584437941126,0.316,0.6970353796671794,0.6970353796671794,9969.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4333,4333,1.0,0,0,0.1111111111111111,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paired_original_bank,fixed_mavs,fixed_full_mavs,p00,1,0.0,0.0,0.0,0.6663636363636364,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.029299999999999993,0.0,"[0.0020736959642686232, 0.004581376703699461, 0.28886666666666666, 0.0, 300000.0, 4.0]"
15000,6269,8731,13,0.0020736959642686232,,40,0.004581376703699461,,0.0020736959642686232,0.004581376703699461,6269,8731,0.9534666666666667,0.0,0.0,0.0,0.6646,0.28886666666666666,4333,0.21666666666666667,0.2845584437941126,0.316,0.6970353796671794,0.6970353796671794,9969.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4333,4333,1.0,0,0,0.1111111111111111,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paired_original_bank,ds_cf,ds_cf_lineage,p00,1,0.0,0.0,0.0,0.6663636363636364,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.029299999999999993,0.0,"[0.0020736959642686232, 0.004581376703699461, 0.28886666666666666, 0.0, 300000.0, 4.0]"
15000,6269,8731,13,0.0020736959642686232,,40,0.004581376703699461,,0.0020736959642686232,0.004581376703699461,6269,8731,0.9534666666666667,0.0,0.0,0.0,0.6646,0.28886666666666666,4333,0.21666666666666667,0.2845584437941126,0.316,0.6970353796671794,0.6970353796671794,9969.0,1.0,0,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,300000.0,15000.0,0,0,4096,4.0,4333,4333,1.0,0,0,0.1111111111111111,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paired_original_bank,memory_control,raw_memory,p00,1,0.0,0.0,0.0,0.6663636363636364,0,2,163,0.0,0.0,0.0,10253.0,0.0,0.029299999999999993,0.0,"[0.0020736959642686232, 0.004581376703699461, 0.28886666666666666, 0.0, 300000.0, 4.0]"
