ablation_id,condition,generation,source_generation,benchmark_stratum,prior_objective,retained_objective,prior_uar,retained_uar,retention_score,forgetting,objective_noninferior,safety_noninferior,catastrophic_interference,passed
A0,cumulative,2,1,corruption_composition_leave_out,0.7188686358705527,0.7277001644039981,0.002952755905511811,0.010826771653543307,1.0122853162494012,0.0,True,True,0,True
A0,cumulative,2,1,corruption_family_leave_out,0.6892151958145933,0.7285805975036972,0.00980392156862745,0.007625272331154684,1.0571162706918806,0.0,True,True,1,False
A0,cumulative,2,1,domain_leave_out,0.6944387216113838,0.6784725034832426,0.003952569169960474,0.016798418972332016,0.9770084564249342,0.01596621812814114,True,False,0,False
A0,cumulative,2,1,generator_leave_out,0.6868667724672894,0.7050189313374576,0.008645533141210375,0.011527377521613832,1.026427481424038,0.0,True,True,0,True
A0,cumulative,2,1,long_horizon_recurrence,0.6761842591527767,0.6865229736483294,0.004212299915754001,0.010109519797809604,1.0152897887751877,0.0,True,True,0,True
A0,cumulative,2,1,policy_semantic_transfer,0.7293816168821746,0.7209240584605129,0.0036529680365296802,0.01643835616438356,0.9884044809659249,0.008457558421661737,True,False,2,False
A0,cumulative,3,2,corruption_composition_leave_out,0.6450670099807599,0.6450670099807599,0.005876591576885406,0.005876591576885406,1.0,0.0,True,True,0,True
A0,cumulative,3,2,corruption_family_leave_out,0.6650199474085049,0.6650199474085049,0.015952143569292122,0.015952143569292122,1.0,0.0,True,True,0,True
A0,cumulative,3,2,domain_leave_out,0.679158197343446,0.679158197343446,0.007272727272727273,0.007272727272727273,1.0,0.0,True,True,0,True
A0,cumulative,3,2,generator_leave_out,0.6636519157257657,0.6636519157257657,0.008988764044943821,0.008988764044943821,1.0,0.0,True,True,0,True
A0,cumulative,3,2,long_horizon_recurrence,0.70539643149438,0.70539643149438,0.012842465753424657,0.012842465753424657,1.0,0.0,True,True,0,True
A0,cumulative,3,2,policy_semantic_transfer,0.6623679302122218,0.6623679302122218,0.008802816901408451,0.008802816901408451,1.0,0.0,True,True,0,True
A0,fresh,2,1,corruption_composition_leave_out,0.7188686358705527,0.7188686358705527,0.002952755905511811,0.002952755905511811,1.0,0.0,True,True,0,True
A0,fresh,2,1,corruption_family_leave_out,0.6892151958145933,0.6892151958145933,0.00980392156862745,0.00980392156862745,1.0,0.0,True,True,0,True
