ablation_id,generation,benchmark_stratum,reset_type,paired_worlds,transfer_gain,forward_transfer,cold_start_reduction,learning_acceleration_ttr,learning_acceleration_ttd,learning_acceleration_ttd_status,negative_transfer_rate,catastrophic_governance_interference,scope_leakage_delta,recurrence_error_delta,objective_delta_ci_low,objective_delta_ci_high
A0,2,generator_leave_out,surface,14,0.02991755621573089,0.02991755621573089,0.027142857142857135,1.0704225352112677,,undefined_world_aggregate_has_no_decision_timestamp,0.21428571428571427,0.0,0.0,0.14285714285714285,-0.00801332008041401,0.06566328087138049
A0,2,long_horizon_recurrence,adversarial,10,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.002,0.0,0.0,0.0
A0,2,long_horizon_recurrence,structural,18,0.02158333333333333,0.0215833333333334,0.01597222222222222,1.0106382978723405,,undefined_world_aggregate_has_no_decision_timestamp,0.1111111111111111,0.0,0.01,0.0,-0.0006576388888889213,0.04088888888888889
A0,2,long_horizon_recurrence,surface,22,0.004658021193554556,0.004658021193554629,0.03465909090909089,1.0085470085470085,,undefined_world_aggregate_has_no_decision_timestamp,0.3181818181818182,0.09090909090909091,0.0,0.13636363636363635,-0.041755658141718326,0.043345009824997685
A0,2,policy_semantic_transfer,adversarial,22,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A0,2,policy_semantic_transfer,structural,11,0.026181818181818153,0.026181818181818306,0.011818181818181811,0.9841269841269842,,undefined_no_harm_detected,0.0,0.0,0.0036363636363636364,0.0,0.017418181818181777,0.03345454545454545
A0,2,policy_semantic_transfer,surface,17,-0.011762716414226656,-0.01176271641422677,0.0004411764705882226,0.891089108910891,,undefined_world_aggregate_has_no_decision_timestamp,0.5882352941176471,0.0,0.0,0.058823529411764705,-0.07019400955851135,0.0381437385813359
A0,3,corruption_composition_leave_out,adversarial,25,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0024,0.0,0.0,0.0
A0,3,corruption_composition_leave_out,structural,19,0.030219465278675764,0.030219465278675917,0.015394736842105239,1.0096153846153846,,undefined_world_aggregate_has_no_decision_timestamp,0.10526315789473684,0.0,0.007368421052631579,0.0,0.007869304980818064,0.05090645286434759
A0,3,corruption_composition_leave_out,surface,6,-0.046579415954415955,-0.04657941595441595,0.04875,1.0,,undefined_world_aggregate_has_no_decision_timestamp,0.5,0.0,0.0,0.3333333333333333,-0.14438867521367518,0.04344490740740747
A0,3,corruption_family_leave_out,adversarial,24,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0016666666666666666,0.0,0.0,0.0
A0,3,corruption_family_leave_out,structural,18,0.002533662587842162,0.002533662587842045,0.026944444444444438,1.1041666666666667,,undefined_world_aggregate_has_no_decision_timestamp,0.16666666666666666,0.05555555555555555,0.005555555555555556,0.0,-0.026624705759496763,0.02513450292397659
A0,3,corruption_family_leave_out,surface,8,0.01184375,0.011843750000000042,0.03218750000000001,0.9523809523809523,,undefined_world_aggregate_has_no_decision_timestamp,0.25,0.0,0.0,0.125,-0.056923697916666606,0.07431354166666665
A0,3,domain_leave_out,adversarial,28,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0021428571428571425,0.0,0.0,0.0
A0,3,domain_leave_out,structural,15,0.023052564102564125,0.023052564102564288,0.019500000000000017,1.072289156626506,,undefined_world_aggregate_has_no_decision_timestamp,0.2,0.0,0.014666666666666666,0.0,0.012433397435897494,0.0359104166666667
A0,3,domain_leave_out,surface,7,0.05163576945929888,0.05163576945929882,0.027499999999999997,0.875,,undefined_world_aggregate_has_no_decision_timestamp,0.2857142857142857,0.0,0.0,-0.14285714285714285,0.004068926661573705,0.10532377132671258
A0,3,generator_leave_out,adversarial,24,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0025,0.0,0.0,0.0
A0,3,generator_leave_out,structural,16,0.03809558823529412,0.03809558823529402,0.026406249999999992,1.0116279069767442,,undefined_world_aggregate_has_no_decision_timestamp,0.0625,0.0,0.01375,0.0,0.020000000000000025,0.05521856617647059
A0,3,generator_leave_out,surface,10,0.003970961845489907,0.003970961845489951,0.009000000000000008,1.08,,undefined_world_aggregate_has_no_decision_timestamp,0.2,0.0,0.0,0.2,-0.051430916475147,0.04871424040172902
A0,3,long_horizon_recurrence,adversarial,23,0.000695652173913049,0.0006956521739129862,0.001413043478260878,1.0,,undefined_no_harm_detected,0.0,0.0,0.0008695652173913043,0.0,0.0,0.0020869565217391467
A0,3,long_horizon_recurrence,structural,18,0.018913690476190473,0.018913690476190514,0.01958333333333337,1.0,,undefined_world_aggregate_has_no_decision_timestamp,0.1111111111111111,0.0,0.011111111111111112,0.0,0.004944196428571449,0.031965451388888885
A0,3,long_horizon_recurrence,surface,9,0.03516926016926022,0.03516926016926014,0.02472222222222223,0.9782608695652175,,undefined_world_aggregate_has_no_decision_timestamp,0.2222222222222222,0.0,0.0,0.0,0.0010911820911821096,0.0640444444444446
A0,3,policy_semantic_transfer,adversarial,26,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0015384615384615385,0.0,0.0,0.0
A0,3,policy_semantic_transfer,structural,14,0.028467261904761842,0.028467261904761898,0.030178571428571388,1.0,,undefined_world_aggregate_has_no_decision_timestamp,0.14285714285714285,0.0,0.011428571428571429,0.0,0.004668824404761817,0.048353571428571364
A0,3,policy_semantic_transfer,surface,10,0.032055922452327135,0.032055922452327135,0.026250000000000023,0.9107142857142857,,undefined_world_aggregate_has_no_decision_timestamp,0.2,0.0,0.0,0.0,-0.034637311616111104,0.08629797113752129
A1,1,corruption_composition_leave_out,adversarial,8,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,corruption_composition_leave_out,structural,13,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,corruption_composition_leave_out,surface,29,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,corruption_family_leave_out,adversarial,7,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,corruption_family_leave_out,structural,19,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,corruption_family_leave_out,surface,24,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,domain_leave_out,adversarial,11,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,domain_leave_out,structural,15,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,domain_leave_out,surface,24,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,generator_leave_out,adversarial,10,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,generator_leave_out,structural,15,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,generator_leave_out,surface,25,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,long_horizon_recurrence,adversarial,11,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,long_horizon_recurrence,structural,20,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,long_horizon_recurrence,surface,19,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,policy_semantic_transfer,adversarial,3,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,policy_semantic_transfer,structural,18,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,1,policy_semantic_transfer,surface,29,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0,0.0,0.0,0.0
A1,2,corruption_composition_leave_out,adversarial,22,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.0036363636363636364,0.0,0.0,0.0
A1,2,corruption_composition_leave_out,structural,20,0.041715921315972376,0.04171592131597235,0.03087500000000004,1.0819672131147542,,undefined_world_aggregate_has_no_decision_timestamp,0.25,0.05,0.011000000000000001,0.0,-0.00047966702287911015,0.08651843425618688
A1,2,corruption_composition_leave_out,surface,8,0.12919524861712361,0.12919524861712373,0.0534375,1.0454545454545454,,undefined_no_harm_detected,0.0,0.0,0.0,-0.125,0.04683773542718848,0.2075227533895503
A1,2,corruption_family_leave_out,adversarial,13,0.0,0.0,0.0,1.0,,undefined_no_harm_detected,0.0,0.0,0.004615384615384616,0.0,0.0,0.0
A1,2,corruption_family_leave_out,structural,18,0.0806372358799684,0.0806372358799684,0.047222222222222165,1.1702127659574466,,undefined_world_aggregate_has_no_decision_timestamp,0.05555555555555555,0.0,0.012222222222222223,-0.05555555555555555,0.016627813747944507,0.14373078924870344
A1,2,corruption_family_leave_out,surface,19,0.07357890268131695,0.07357890268131706,0.07736842105263156,0.9727272727272728,,undefined_world_aggregate_has_no_decision_timestamp,0.2631578947368421,0.0,0.0,-0.10526315789473684,0.006300179974366631,0.12845264405238307
