ablation_id,exact_condition,condition,generation,competitive,oracle,config_hash,worlds,decisions,uar,uar_exact_ci_low,uar_exact_ci_high,frr,escalation_rate,mean_reward,objective,objective_ci_low,objective_ci_high,objective_cvar10,objective_worst_world,catastrophic_interference,irreversible_interference,scope_leakage_rate,diagnostic_reuse_rate,novel_diagnostic_yield,promotion_rate,update_stability,mean_time_to_recovery,early_loss,late_loss,recurrence_errors,adversarial_failures,retained_bytes,trace_complete
A0,Full MAVS-SL reference.,cumulative,1,True,False,f0824c748f4df123f7c05c7f0977f7dcb1859582249dcacb1e86bc9d0866fcf8,300,15000,0.005423512521933323,0.0037587775989492813,0.007570643140322672,0.0059557897148093,0.31726666666666664,0.7821433333333334,0.6991592002997951,0.6861302152295349,0.711725722773053,0.4558828554527699,0.17237878787878785,0,1,0.0288,,0.06798096532970768,0.0005333333333333334,0.9967778544070415,5.946666666666666,0.21821666666666667,0.21411666666666668,18,4,573440,True
A0,Full MAVS-SL reference.,cumulative,2,True,False,f0824c748f4df123f7c05c7f0977f7dcb1859582249dcacb1e86bc9d0866fcf8,300,15000,0.009971509971509971,0.007670649622659877,0.0127400924341242,0.009329647546648237,0.32666666666666666,0.7659666666666667,0.6701102386941797,0.6557585113763165,0.6873394709148797,0.4223490622544563,0.20833333333333343,7,1,0.055466666666666664,0.6345798865112463,0.03761869978086194,0.0007333333333333333,0.9962411585709305,6.89,0.23908333333333337,0.23544999999999996,32,2,1064960,True
A0,Full MAVS-SL reference.,cumulative,3,True,False,f0824c748f4df123f7c05c7f0977f7dcb1859582249dcacb1e86bc9d0866fcf8,300,15000,0.0051468362095065095,0.003566888836689772,0.007184828450296126,0.00881582082439838,0.3788,0.7382133333333334,0.6459102120028652,0.6322751097009182,0.662021202334268,0.4399869792382392,0.33892515592515576,2,3,0.0892,0.47289719626168225,0.03141614306428226,0.0007333333333333333,0.9959017618961857,6.926666666666667,0.25945,0.26535000000000003,22,10,1556480,True
A0,Full MAVS-SL reference.,fresh,1,True,False,f0824c748f4df123f7c05c7f0977f7dcb1859582249dcacb1e86bc9d0866fcf8,300,15000,0.005423512521933323,0.0037587775989492813,0.007570643140322672,0.0059557897148093,0.31726666666666664,0.7821433333333334,0.6991592002997951,0.6868125845477419,0.7106400261463744,0.4558828554527699,0.17237878787878785,0,1,0.0288,,0.06798096532970768,0.0005333333333333334,0.9967778544070415,5.946666666666666,0.21821666666666667,0.21411666666666668,18,4,573440,True
A0,Full MAVS-SL reference.,fresh,2,True,False,f0824c748f4df123f7c05c7f0977f7dcb1859582249dcacb1e86bc9d0866fcf8,300,15000,0.003798670465337132,0.002435350145157618,0.005646881122029988,0.0055286800276434,0.3674,0.7499233333333334,0.6641211884334128,0.6511560392259054,0.6773618415567295,0.4427311075455787,0.2843333333333334,5,0,0.05106666666666667,,0.03761869978086194,0.0007333333333333333,0.9962411585709305,6.923333333333333,0.25425833333333336,0.24798333333333336,15,2,573440,True
A0,Full MAVS-SL reference.,fresh,3,True,False,f0824c748f4df123f7c05c7f0977f7dcb1859582249dcacb1e86bc9d0866fcf8,300,15000,0.003178928247048138,0.0019688506088867503,0.004855245931595309,0.006433166547533953,0.40573333333333333,0.7252733333333334,0.6352982193015072,0.6251830991715871,0.6480535676243343,0.44298586340627605,0.33954054054054056,2,2,0.0848,,0.03141614306428226,0.0007333333333333333,0.9959017618961857,6.956666666666667,0.2715083333333334,0.2819,18,10,573440,True
A1,No learning: frozen best development configuration.,cumulative,1,True,False,5295b255027e6bdb2e274ab5e019ee7515d698c71f87b93fb5b7f29adc1a1782,300,15000,0.023289200829478385,0.01969910256566766,0.02733169758553672,0.026915588134234336,0.3433333333333333,0.7197,0.5806305445964833,0.5628996405998765,0.5938150775741972,0.2724582552935605,-0.09432976827094475,16,8,0.0,,,0.0,1.0,6.76,0.2739416666666667,0.2727,72,8,573440,True
A1,No learning: frozen best development configuration.,cumulative,2,True,False,5295b255027e6bdb2e274ab5e019ee7515d698c71f87b93fb5b7f29adc1a1782,300,15000,0.013770180436847104,0.011043655123838422,0.016958098011847056,0.018313752591568762,0.3585333333333333,0.7293200000000001,0.6161408067849968,0.6004645168153376,0.6301566806340949,0.3331971117263632,0.14550000000000013,13,3,0.005266666666666667,0.6345798865112463,,0.0,1.0,7.411371237458194,0.27315000000000006,0.27351666666666663,53,12,1064960,True
A1,No learning: frozen best development configuration.,cumulative,3,True,False,5295b255027e6bdb2e274ab5e019ee7515d698c71f87b93fb5b7f29adc1a1782,300,15000,0.009990917347865577,0.007735163543027331,0.012693583790171489,0.01834643793185609,0.40626666666666666,0.7029266666666668,0.5931852855578164,0.5793651241822254,0.6065118929671195,0.3615977258553398,-0.09549999999999996,8,6,0.0058,0.47289719626168225,,0.0,1.0,7.39,0.2945666666666667,0.29885,40,20,1556480,True
A1,No learning: frozen best development configuration.,fresh,1,True,False,5295b255027e6bdb2e274ab5e019ee7515d698c71f87b93fb5b7f29adc1a1782,300,15000,0.023289200829478385,0.01969910256566766,0.02733169758553672,0.026915588134234336,0.3433333333333333,0.7197,0.5806305445964833,0.56119310595756,0.5973344576391265,0.2724582552935605,-0.09432976827094475,16,8,0.0,,,0.0,1.0,6.76,0.2739416666666667,0.2727,72,8,573440,True
